Angle, TimePerStep, Intensity
42.16,0.5,6
42.18,0.5,2
42.2,0.5,4
42.22,0.5,5
42.24,0.5,3
42.26,0.5,2
42.28,0.5,5
42.3,0.5,4
42.32,0.5,3
42.34,0.5,2
42.36,0.5,3
42.38,0.5,5
42.4,0.5,1
42.42,0.5,0
42.44,0.5,5
42.46,0.5,5
42.48,0.5,9
42.5,0.5,6
42.52,0.5,2
42.54,0.5,2
42.56,0.5,2
42.58,0.5,3
42.6,0.5,2
42.62,0.5,3
42.64,0.5,2
42.66,0.5,5
42.68,0.5,4
42.7,0.5,5
42.72,0.5,2
42.74,0.5,1
42.76,0.5,2
42.78,0.5,1
42.8,0.5,1
42.82,0.5,4
42.84,0.5,3
42.86,0.5,9
42.88,0.5,1
42.9,0.5,4
42.92,0.5,2
42.94,0.5,2
42.96,0.5,4
42.98,0.5,0
43,0.5,3
43.02,0.5,2
43.04,0.5,2
43.06,0.5,4
43.08,0.5,2
43.1,0.5,2
43.12,0.5,6
43.14,0.5,4
43.16,0.5,1
43.18,0.5,1
43.2,0.5,6
43.22,0.5,0
43.24,0.5,3
43.26,0.5,4
43.28,0.5,2
43.3,0.5,2
43.32,0.5,2
43.34,0.5,3
43.36,0.5,2
43.38,0.5,5
43.4,0.5,3
43.42,0.5,5
43.44,0.5,0
43.46,0.5,1
43.48,0.5,3
43.5,0.5,3
43.52,0.5,2
43.54,0.5,2
43.56,0.5,6
43.58,0.5,3
43.6,0.5,2
43.62,0.5,3
43.64,0.5,0
43.66,0.5,3
43.68,0.5,3
43.7,0.5,1
43.72,0.5,2
43.74,0.5,3
43.76,0.5,2
43.78,0.5,7
43.8,0.5,5
43.82,0.5,5
43.84,0.5,2
43.86,0.5,2
43.88,0.5,4
43.9,0.5,3
43.92,0.5,2
43.94,0.5,5
43.96,0.5,4
43.98,0.5,4
44,0.5,3
44.02,0.5,1
44.04,0.5,7
44.06,0.5,2
44.08,0.5,4
44.1,0.5,2
44.12,0.5,1
44.14,0.5,5
44.16,0.5,2
44.18,0.5,7
44.2,0.5,2
44.22,0.5,6
44.24,0.5,4
44.26,0.5,4
44.28,0.5,1
44.3,0.5,5
44.32,0.5,4
44.34,0.5,4
44.36,0.5,6
44.38,0.5,6
44.4,0.5,1
44.42,0.5,4
44.44,0.5,4
44.46,0.5,5
44.48,0.5,1
44.5,0.5,5
44.52,0.5,2
44.54,0.5,2
44.56,0.5,4
44.58,0.5,4
44.6,0.5,4
44.62,0.5,5
44.64,0.5,10
44.66,0.5,2
44.68,0.5,6
44.7,0.5,4
44.72,0.5,5
44.74,0.5,6
44.76,0.5,5
44.78,0.5,3
44.8,0.5,3
44.82,0.5,6
44.84,0.5,4
44.86,0.5,4
44.88,0.5,8
44.9,0.5,5
44.92,0.5,3
44.94,0.5,2
44.96,0.5,4
44.98,0.5,3
45,0.5,4
45.02,0.5,3
45.04,0.5,6
45.06,0.5,4
45.08,0.5,6
45.1,0.5,4
45.12,0.5,1
45.14,0.5,8
45.16,0.5,8
45.18,0.5,3
45.2,0.5,9
45.22,0.5,3
45.24,0.5,10
45.26,0.5,5
45.28,0.5,8
45.3,0.5,4
45.32,0.5,1
45.34,0.5,3
45.36,0.5,4
45.38,0.5,3
45.4,0.5,2
45.42,0.5,4
45.44,0.5,1
45.46,0.5,10
45.48,0.5,5
45.5,0.5,3
45.52,0.5,5
45.54,0.5,4
45.56,0.5,6
45.58,0.5,3
45.6,0.5,3
45.62,0.5,3
45.64,0.5,4
45.66,0.5,7
45.68,0.5,2
45.7,0.5,2
45.72,0.5,4
45.74,0.5,5
45.76,0.5,6
45.78,0.5,5
45.8,0.5,1
45.82,0.5,5
45.84,0.5,4
45.86,0.5,5
45.88,0.5,3
45.9,0.5,4
45.92,0.5,6
45.94,0.5,4
45.96,0.5,7
45.98,0.5,5
46,0.5,5
46.02,0.5,6
46.04,0.5,9
46.06,0.5,7
46.08,0.5,6
46.1,0.5,4
46.12,0.5,4
46.14,0.5,10
46.16,0.5,5
46.18,0.5,5
46.2,0.5,5
46.22,0.5,11
46.24,0.5,8
46.26,0.5,4
46.28,0.5,4
46.3,0.5,2
46.32,0.5,5
46.34,0.5,9
46.36,0.5,10
46.38,0.5,8
46.4,0.5,9
